Região,isoweek,SRAG2013
AfAmN,1,0.0193481979
AfAmN,2,0.0193481979
AfAmN,3,0.0257975972
AfAmN,4,0.0128987986
AfAmN,5,0.0193481979
AfAmN,6,0.0064493993
AfAmN,7,0.0064493993
AfAmN,8,0.0257975972
AfAmN,9,0.1031903888
AfAmN,10,0.0773927916
AfAmN,11,0.0451457951
AfAmN,12,0.0709433923
AfAmN,13,0.0515951944
AfAmN,14,0.0902915902
AfAmN,15,0.1354373854
AfAmN,16,0.212830177
AfAmN,17,0.27732417
AfAmN,18,0.3418181631
AfAmN,19,0.3353687638
AfAmN,20,0.4514579512
AfAmN,21,0.5030531456
AfAmN,22,0.5546483401
AfAmN,23,0.3353687638
AfAmN,24,0.27732417
AfAmN,25,0.2063807777
AfAmN,26,0.0902915902
AfAmN,27,0.1160891875
AfAmN,28,0.0902915902
AfAmN,29,0.0967409895
AfAmN,30,0.0451457951
AfAmN,31,0.0515951944
AfAmN,32,0.0773927916
AfAmN,33,0.0580445937
AfAmN,34,0.0773927916
AfAmN,35,0.064493993
AfAmN,36,0.0515951944
AfAmN,37,0.1096397882
AfAmN,38,0.064493993
AfAmN,39,0.0322469965
AfAmN,40,0.0451457951
AfAmN,41,0.0386963958
AfAmN,42,0.064493993
AfAmN,43,0.0128987986
AfAmN,44,0.0386963958
AfAmN,45,0.0257975972
AfAmN,46,0.0128987986
AfAmN,47,0.0128987986
AfAmN,48,0.0257975972
AfAmN,49,0.0322469965
AfAmN,50,0.0257975972
AfAmN,51,0.0386963958
AfAmN,52,0.0386963958
AsBSh,1,0.0106020792
AsBSh,2,0.0121166619
AsBSh,3,0.0257479066
AsBSh,4,0.0408937341
AsBSh,5,0.0318062376
AsBSh,6,0.0318062376
AsBSh,7,0.0545249788
AsBSh,8,0.0408937341
AsBSh,9,0.0514958133
AsBSh,10,0.0575541443
AsBSh,11,0.0575541443
AsBSh,12,0.0560395615
AsBSh,13,0.0545249788
AsBSh,14,0.0681562235
AsBSh,15,0.0893603819
AsBSh,16,0.0969332956
AsBSh,17,0.0772437199
AsBSh,18,0.1151082885
AsBSh,19,0.1196520367
AsBSh,20,0.0999624611
AsBSh,21,0.1514582743
AsBSh,22,0.1514582743
AsBSh,23,0.165089519
AsBSh,24,0.1378270297
AsBSh,25,0.1135937058
AsBSh,26,0.112079123
AsBSh,27,0.1378270297
AsBSh,28,0.1211666195
AsBSh,29,0.1514582743
AsBSh,30,0.1090499575
AsBSh,31,0.1484291089
AsBSh,32,0.1484291089
AsBSh,33,0.1196520367
AsBSh,34,0.124195785
AsBSh,35,0.1317686987
AsBSh,36,0.0999624611
AsBSh,37,0.0863312164
AsBSh,38,0.0833020509
AsBSh,39,0.0666416407
AsBSh,40,0.1075353748
AsBSh,41,0.0817874681
AsBSh,42,0.0833020509
AsBSh,43,0.053010396
AsBSh,44,0.065127058
AsBSh,45,0.0696708062
AsBSh,46,0.0545249788
AsBSh,47,0.0514958133
AsBSh,48,0.046952065
AsBSh,49,0.0439228996
AsBSh,50,0.0499812305
AsBSh,51,0.0212041584
AsBSh,52,0.0318062376
Aw,1,0.0226844627
Aw,2,0.0415881816
Aw,3,0.0226844627
Aw,4,0.0189037189
Aw,5,0.0302459502
Aw,6,0.0378074378
Aw,7,0.034026694
Aw,8,0.0264652065
Aw,9,0.0529304129
Aw,10,0.0567111567
Aw,11,0.0756148756
Aw,12,0.0529304129
Aw,13,0.0982993383
Aw,14,0.0945185945
Aw,15,0.1096415696
Aw,16,0.0982993383
Aw,17,0.0907378507
Aw,18,0.0907378507
Aw,19,0.1209838009
Aw,20,0.1512297512
Aw,21,0.1663527263
Aw,22,0.1965986765
Aw,23,0.2684328084
Aw,24,0.2003794203
Aw,25,0.2117216517
Aw,26,0.2192831392
Aw,27,0.2646520646
Aw,28,0.2608713208
Aw,29,0.2041601641
Aw,30,0.2003794203
Aw,31,0.1965986765
Aw,32,0.1512297512
Aw,33,0.1209838009
Aw,34,0.1134223134
Aw,35,0.0945185945
Aw,36,0.1209838009
Aw,37,0.0907378507
Aw,38,0.0718341318
Aw,39,0.0529304129
Aw,40,0.0529304129
Aw,41,0.0642726443
Aw,42,0.0793956194
Aw,43,0.0793956194
Aw,44,0.0529304129
Aw,45,0.0378074378
Aw,46,0.0604919005
Aw,47,0.0226844627
Aw,48,0.0302459502
Aw,49,0.0453689254
Aw,50,0.034026694
Aw,51,0.0378074378
Aw,52,0.0415881816
Cf,1,0.0677035068
Cf,2,0.0687781657
Cf,3,0.0677035068
Cf,4,0.0838233894
Cf,5,0.066628848
Cf,6,0.0902713424
Cf,7,0.0881220248
Cf,8,0.0977939543
Cf,9,0.1096152015
Cf,10,0.1225111076
Cf,11,0.1311083783
Cf,12,0.1558255316
Cf,13,0.199886544
Cf,14,0.2837099334
Cf,15,0.4416847826
Cf,16,0.5803157728
Cf,17,0.7963221994
Cf,18,0.885518883
Cf,19,0.8887428595
Cf,20,1.0402697557
Cf,21,1.2756200413
Cf,22,1.3239796891
Cf,23,1.5378367979
Cf,24,1.4851785149
Cf,25,1.3873845606
Cf,26,1.3626674073
Cf,27,1.4217736434
Cf,28,1.2025432403
Cf,29,1.0725095209
Cf,30,0.9371025072
Cf,31,0.9360278484
Cf,32,0.8135167408
Cf,33,0.7490372105
Cf,34,0.7039015392
Cf,35,0.6308247382
Cf,36,0.5179855602
Cf,37,0.4588793241
Cf,38,0.3643093463
Cf,39,0.3148750397
Cf,40,0.3105764043
Cf,41,0.2923072041
Cf,42,0.2751126627
Cf,43,0.2267530149
Cf,44,0.206334497
Cf,45,0.1773187084
Cf,46,0.1697960965
Cf,47,0.1687214377
Cf,48,0.1235857664
Cf,49,0.139705649
Cf,50,0.1149884957
Cf,51,0.0913460013
Cf,52,0.0795247541
